Domain Code,Domain,Area Code (ISO3),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
TCL,Crops and livestock products,DZA,Algeria,"5608",Import quantity,"2121.01",Camels,"2024","2024",An,"67",X,Figure from external organization,Estimated data using trading partners database
TCL,Crops and livestock products,AUS,Australia,"5908",Export quantity,"2121.01",Camels,"2024","2024",An,"914",A,Official figure,
TCL,Crops and livestock products,AUT,Austria,"5608",Import quantity,"2121.01",Camels,"2024","2024",An,"6",A,Official figure,
TCL,Crops and livestock products,AUT,Austria,"5908",Export quantity,"2121.01",Camels,"2024","2024",An,"3",A,Official figure,
TCL,Crops and livestock products,AZE,Azerbaijan,"5608",Import quantity,"2121.01",Camels,"2024","2024",An,"41",A,Official figure,
TCL,Crops and livestock products,BHR,Bahrain,"5608",Import quantity,"2121.01",Camels,"2024","2024",An,"52",X,Figure from external organization,Estimated data using trading partners database
TCL,Crops and livestock products,BGD,Bangladesh,"5608",Import quantity,"2121.01",Camels,"2024","2024",An,"20",X,Figure from external organization,Estimated data using trading partners database
TCL,Crops and livestock products,BLR,Belarus,"5608",Import quantity,"2121.01",Camels,"2024","2024",An,"20",X,Figure from external organization,Estimated data using trading partners database
TCL,Crops and livestock products,BLR,Belarus,"5608",Import quantity,"2121.02",Other camelids,"2024","2024",An,"2",X,Figure from external organization,Estimated data using trading partners database
TCL,Crops and livestock products,BEL,Belgium,"5608",Import quantity,"2121.01",Camels,"2024","2024",An,"12",A,Official figure,
TCL,Crops and livestock products,BEL,Belgium,"5908",Export quantity,"2121.01",Camels,"2024","2024",An,"94",A,Official figure,
TCL,Crops and livestock products,BOL,Bolivia (Plurinational State of),"5908",Export quantity,"2121.02",Other camelids,"2024","2024",An,"1",A,Official figure,
TCL,Crops and livestock products,BRA,Brazil,"5608",Import quantity,"2121.01",Camels,"2024","2024",An,"46",A,Official figure,
TCL,Crops and livestock products,BRA,Brazil,"5908",Export quantity,"2121.01",Camels,"2024","2024",An,"0",A,Official figure,
TCL,Crops and livestock products,BFA,Burkina Faso,"5908",Export quantity,"2121.01",Camels,"2024","2024",An,"1",A,Official figure,
TCL,Crops and livestock products,KHM,Cambodia,"5608",Import quantity,"2121.01",Camels,"2024","2024",An,"1",A,Official figure,
TCL,Crops and livestock products,CAN,Canada,"5608",Import quantity,"2121.02",Other camelids,"2024","2024",An,"97",A,Official figure,
TCL,Crops and livestock products,CAN,Canada,"5908",Export quantity,"2121.02",Other camelids,"2024","2024",An,"9",A,Official figure,
TCL,Crops and livestock products,CHL,Chile,"5908",Export quantity,"2121.02",Other camelids,"2024","2024",An,"4661",A,Official figure,
TCL,Crops and livestock products,F351,China,"5608",Import quantity,"2121.01",Camels,"2024","2024",An,"238",A,Official figure,
TCL,Crops and livestock products,CHN,"China, mainland","5608",Import quantity,"2121.01",Camels,"2024","2024",An,"238",A,Official figure,
TCL,Crops and livestock products,TWN,"China, Taiwan Province of","5608",Import quantity,"2121.01",Camels,"2024","2024",An,"0",A,Official figure,
TCL,Crops and livestock products,COL,Colombia,"5908",Export quantity,"2121.01",Camels,"2024","2024",An,"11",I,Value imputed by a receiving agency,
TCL,Crops and livestock products,COL,Colombia,"5608",Import quantity,"2121.02",Other camelids,"2024","2024",An,"1",A,Official figure,
TCL,Crops and livestock products,COL,Colombia,"5908",Export quantity,"2121.02",Other camelids,"2024","2024",An,"56",I,Value imputed by a receiving agency,
TCL,Crops and livestock products,CIV,Côte d'Ivoire,"5608",Import quantity,"2121.01",Camels,"2024","2024",An,"236",A,Official figure,
TCL,Crops and livestock products,CZE,Czechia,"5908",Export quantity,"2121.01",Camels,"2024","2024",An,"78",A,Official figure,
TCL,Crops and livestock products,DJI,Djibouti,"5908",Export quantity,"2121.01",Camels,"2024","2024",An,"26993",X,Figure from external organization,Estimated data using trading partners database
TCL,Crops and livestock products,EGY,Egypt,"5608",Import quantity,"2121.01",Camels,"2024","2024",An,"87458",I,Value imputed by a receiving agency,
TCL,Crops and livestock products,ERI,Eritrea,"5908",Export quantity,"2121.01",Camels,"2024","2024",An,"474",X,Figure from external organization,Estimated data using trading partners database
TCL,Crops and livestock products,FRA,France,"5608",Import quantity,"2121.01",Camels,"2024","2024",An,"24",A,Official figure,
TCL,Crops and livestock products,FRA,France,"5908",Export quantity,"2121.01",Camels,"2024","2024",An,"3",A,Official figure,
TCL,Crops and livestock products,GEO,Georgia,"5608",Import quantity,"2121.01",Camels,"2024","2024",An,"2",A,Official figure,
TCL,Crops and livestock products,DEU,Germany,"5608",Import quantity,"2121.01",Camels,"2024","2024",An,"11",A,Official figure,
TCL,Crops and livestock products,DEU,Germany,"5908",Export quantity,"2121.01",Camels,"2024","2024",An,"6",A,Official figure,
TCL,Crops and livestock products,GHA,Ghana,"5608",Import quantity,"2121.01",Camels,"2024","2024",An,"1",X,Figure from external organization,Estimated data using trading partners database
TCL,Crops and livestock products,HUN,Hungary,"5908",Export quantity,"2121.01",Camels,"2024","2024",An,"217",A,Official figure,
TCL,Crops and livestock products,IND,India,"5608",Import quantity,"2121.01",Camels,"2024","2024",An,"20",A,Official figure,
TCL,Crops and livestock products,IDN,Indonesia,"5608",Import quantity,"2121.01",Camels,"2024","2024",An,"34",A,Official figure,
TCL,Crops and livestock products,IRQ,Iraq,"5608",Import quantity,"2121.01",Camels,"2024","2024",An,"713",X,Figure from external organization,Estimated data using trading partners database
TCL,Crops and livestock products,ITA,Italy,"5608",Import quantity,"2121.01",Camels,"2024","2024",An,"4",A,Official figure,
TCL,Crops and livestock products,JOR,Jordan,"5608",Import quantity,"2121.01",Camels,"2024","2024",An,"169",X,Figure from external organization,Estimated data using trading partners database
