Date_downloaded,Country_name,Country_ISO3_code,Who_region,WB_income,Cumulative_cases,Last_date_reported
2025-05-18,Saudi Arabia,SAU,EMR,HIC,2217,2025-04-20
2025-05-18,Republic of Korea,KOR,WPR,HIC,186,2018-08-26
2025-05-18,United Arab Emirates,ARE,EMR,HIC,94,2023-06-04
2025-05-18,Jordan,JOR,EMR,UMC,28,2015-09-27
2025-05-18,Qatar,QAT,EMR,HIC,28,2022-03-20
2025-05-18,Oman,OMN,EMR,HIC,26,2023-01-01
2025-05-18,Iran (Islamic Republic of),IRN,EMR,UMC,6,2015-03-22
2025-05-18,United Kingdom of Great Britain and Northern Ireland,GBR,EUR,HIC,5,2018-08-19
2025-05-18,Kuwait,KWT,EMR,HIC,4,2015-09-13
2025-05-18,Germany,DEU,EUR,HIC,3,2015-02-15
2025-05-18,Thailand,THA,SEAR,UMC,3,2016-07-31
2025-05-18,Tunisia,TUN,EMR,LMC,3,2013-05-19
2025-05-18,Algeria,DZA,AFR,LMC,2,2014-05-25
2025-05-18,Austria,AUT,EUR,HIC,2,2016-09-11
2025-05-18,France,FRA,EUR,HIC,2,2013-05-12
2025-05-18,Lebanon,LBN,EMR,UMC,2,2017-06-11
2025-05-18,Malaysia,MYS,WPR,UMC,2,2017-12-24
2025-05-18,Netherlands,NLD,EUR,HIC,2,2014-05-11
2025-05-18,Philippines,PHL,WPR,LMC,2,2015-07-05
2025-05-18,United States of America,USA,AMR,HIC,2,2014-05-04
2025-05-18,Bahrain,BHR,EMR,HIC,1,2016-04-10
2025-05-18,China,CHN,WPR,UMC,1,2015-05-24
2025-05-18,Egypt,EGY,EMR,LMC,1,2014-04-27
2025-05-18,Greece,GRC,EUR,HIC,1,2014-04-20
2025-05-18,Italy,ITA,EUR,HIC,1,2013-05-26
2025-05-18,Türkiye,TUR,EUR,UMC,1,2014-09-28
2025-05-18,Yemen,YEM,EMR,LIC,1,2014-03-23
